31,002553,南方轴承,详细  数据,2616万,4262万,3970万,1.87亿,-,1349万,209万,1.08亿,-,57.81,7907万,01-31,http://data.eastmoney.com/bbsj/zcfz/002553.html
32,002551,尚荣医疗,详细  数据,4421万,3697万,1742万,2.11亿,-,1239万,3179万,1.28亿,-,60.58,8305万,01-31,http://data.eastmoney.com/bbsj/zcfz/002551.html
33,300181,佐力药业,详细  数据,1432万,3635万,1660万,2.51亿,-,565万,225万,1.07亿,-,42.50,1.44亿,01-26,http://data.eastmoney.com/bbsj/zcfz/300181.html
34,300184,力源信息,详细  数据,1199万,1038万,4022万,8430万,-,98.14万,5155,2169万,-,25.73,6261万,01-26,http://data.eastmoney.com/bbsj/zcfz/300184.html
35,300183,东软载波,详细  数据,2832万,937万,955万,6756万,-,237万,212万,796万,-,11.78,5960万,01-26,http://data.eastmoney.com/bbsj/zcfz/300183.html
36,300182,捷成股份,详细  数据,803万,1655万,1360万,4714万,-,1017万,1111万,2572万,-,54.55,2143万,01-26,http://data.eastmoney.com/bbsj/zcfz/300182.html
37,300180,华峰超纤,详细  数据,693万,2245万,1.00亿,3.71亿,-,5882万,152万,1.56亿,-,42.03,2.15亿,01-26,http://data.eastmoney.com/bbsj/zcfz/300180.html
38,002549,凯美特气,详细  数据,3978万,769万,185万,1.23亿,144,692万,297万,3486万,126,28.34,8817万,01-24,http://data.eastmoney.com/bbsj/zcfz/002549.html
39,002550,千红制药,详细  数据,8394万,4765万,4331万,2.89亿,-,86.94万,24.93万,7695万,-,26.67,2.12亿,01-24,http://data.eastmoney.com/bbsj/zcfz/002550.html
40,002548,金新农,详细  数据,1654万,714万,5116万,1.26亿,-,3010万,775万,6535万,-,52.06,6019万,01-24,http://data.eastmoney.com/bbsj/zcfz/002548.html
41,600939,重庆建工,详细  数据,11.38亿,41.21亿,13.55亿,119亿,80.2,28.60亿,12.18亿,104亿,102,87.82,14.47亿,01-24,http://data.eastmoney.com/bbsj/zcfz/600939.html
42,002571,德力股份,详细  数据,1983万,1591万,7013万,2.54亿,-,5228万,1172万,1.72亿,-,67.75,8180万,01-21,http://data.eastmoney.com/bbsj/zcfz/002571.html
43,300199,翰宇药业,详细  数据,177万,734万,1518万,5824万,-,568万,68.79万,954万,-,16.38,4870万,01-21,http://data.eastmoney.com/bbsj/zcfz/300199.html
44,300204,舒泰神,详细  数据,1320万,508万,236万,8222万,-,210万,190万,4835万,-,58.80,3387万,01-20,http://data.eastmoney.com/bbsj/zcfz/300204.html
