28,600029,南方航空,详细,0.21,676亿,11.98,-1.90,21.37亿,-22.80,-116.00,5.1059,4.17,0.9311,11.01,不分配不转增,民航机场,09-11,http://data.eastmoney.com/bbsj/600029.html
29,600220,江苏阳光,详细,0.0232,10.57亿,6.40,62.83,4139万,17.30,532.21,1.1778,1.98,0.1003,21.03,不分配不转增,纺织服装,09-11,http://data.eastmoney.com/bbsj/600220.html
30,603585,苏利股份,详细,0.85,8.12亿,10.71,13.38,1.53亿,34.64,56.69,8.8728,9.56,1.2529,41.70,不分配不转增,化工行业,09-11,http://data.eastmoney.com/bbsj/603585.html
31,300525,博思软件,详细,-0.1146,1.14亿,51.11,84.67,-1406万,-388.95,89.70,3.4868,-2.96,-0.7356,61.48,不分配不转增,软件服务,09-10,http://data.eastmoney.com/bbsj/300525.html
32,002224,三力士,详细,0.1,4.17亿,0.41,31.11,6644万,-21.86,148.89,2.6167,3.88,-0.0228,34.24,不分配不转增,塑胶制品,09-07,http://data.eastmoney.com/bbsj/002224.html
33,600145,*ST新亿,详细,0.034,1576万,-36.95,-,4669万,1046.67,4297.15,0.451,0.02,-0.0005,9.65,不分配不转增,玻璃陶瓷,09-07,http://data.eastmoney.com/bbsj/600145.html
34,000987,越秀金控,详细,0.084,25.86亿,10.72,1.92,1.88亿,-27.13,-30.96,5.7881,1.45,0.745,-,不分配不转增,多元金融,09-07,http://data.eastmoney.com/bbsj/000987.html
35,300740,御家汇,详细,0.35,9.81亿,57.78,56.87,6503万,19.05,21.67,4.8796,5.97,0.4376,53.77,不分配不转增,化工行业,09-06,http://data.eastmoney.com/bbsj/300740.html
36,002366,台海核电,详细,0.5,9.72亿,-7.57,9.28,4.37亿,2.60,37.70,3.568,14.68,-0.064,69.95,不分配不转增,机械行业,09-05,http://data.eastmoney.com/bbsj/002366.html
37,300748,金力永磁,详细,0.14,6.16亿,62.94,-,5218万,-22.19,-,2.2328,6.38,0.1093,20.94,-,材料行业,09-05,http://data.eastmoney.com/bbsj/300748.html
38,603963,大理药业,详细,0.01,2.03亿,56.04,-15.61,88.58万,-97.16,-189.78,4.5431,0.19,0.3579,81.01,不分配不转增,医药制造,09-05,http://data.eastmoney.com/bbsj/603963.html
39,600179,安通控股,详细,0.23,46.15亿,79.80,40.31,3.38亿,48.01,-1.26,2.1727,10.67,0.2947,14.11,不分配不转增,交运物流,09-05,http://data.eastmoney.com/bbsj/600179.html
40,603810,丰山集团,详细,1.43,8.02亿,-,-,8558万,-,-,10.0798,14.87,0.8673,25.93,-,农药兽药,09-04,http://data.eastmoney.com/bbsj/603810.html
41,300356,光一科技,详细,0.0437,1.56亿,-24.36,152.19,1815万,835.24,293.78,2.5371,1.74,-0.1938,36.12,不分配不转增,输配电气,09-03,http://data.eastmoney.com/bbsj/300356.html
42,300063,天龙集团,详细,0.1065,38.14亿,29.40,0.97,7733万,3.59,181.33,2.7036,4.02,-0.0446,8.17,不分配不转增,化工行业,09-01,http://data.eastmoney.com/bbsj/300063.html
43,002246,北化股份,详细,0.11,10.04亿,14.52,112.77,6102万,18.81,2281.97,4.217,2.67,-0.0356,23.55,不分配不转增,化工行业,09-01,http://data.eastmoney.com/bbsj/002246.html
44,002683,宏大爆破,详细,0.1318,18.62亿,17.28,68.77,9242万,14.93,830.42,4.3248,3.05,0.2639,21.23,不分配不转增,化工行业,09-01,http://data.eastmoney.com/bbsj/002683.html
45,600692,亚通股份,详细,0.0667,3.70亿,-45.46,9.82,2346万,7.20,92.23,2.0507,3.31,-0.6032,22.65,不分配不转增,房地产,09-01,http://data.eastmoney.com/bbsj/600692.html
46,000797,中国武夷,详细,0.079,10.31亿,9.84,-18.57,7956万,46.92,5.84,4.7732,1.47,-1.1719,22.76,不分配不转增,房地产,09-01,http://data.eastmoney.com/bbsj/000797.html
47,601012,隆基股份,详细,0.47,100亿,59.36,88.24,13.07亿,5.73,40.62,5.1997,8.84,0.4187,22.62,不分配不转增,材料行业,08-31,http://data.eastmoney.com/bbsj/601012.html
48,002492,恒基达鑫,详细,0.0816,1.25亿,16.51,25.75,3306万,-14.79,101.47,3.0091,2.71,-0.0942,48.06,不分配不转增,交运物流,08-31,http://data.eastmoney.com/bbsj/002492.html
49,002323,*ST百特,详细,0.0083,2.48亿,-60.32,-25.78,616万,-94.71,-25.88,1.1202,0.73,0.073,24.34,不分配不转增,工程建设,08-31,http://data.eastmoney.com/bbsj/002323.html
50,601801,皖新传媒,详细,0.44,43.77亿,15.59,-6.03,8.74亿,5.27,-67.34,4.9377,9.28,0.0714,19.50,不分配不转增,文化传媒,08-31,http://data.eastmoney.com/bbsj/601801.html
51,601996,丰林集团,详细,0.07,6.46亿,6.07,22.35,6812万,1.95,36.59,1.9889,3.56,0.0183,23.05,不分配不转增,木业家具,08-31,http://data.eastmoney.com/bbsj/601996.html
52,601886,江河集团,详细,0.27,72.15亿,9.48,38.27,3.15亿,30.46,130.24,5.8885,4.53,-0.8541,16.88,不分配不转增,装修装饰,08-31,http://data.eastmoney.com/bbsj/601886.html
53,002488,金固股份,详细,0.12,14.79亿,13.28,38.68,8422万,229.46,30.24,6.2497,2.01,-0.7803,20.78,10转5.00派1.50,汽车行业,08-31,http://data.eastmoney.com/bbsj/002488.html
