scode,sname,trademarket,reportdate,frdate,fcdate,scdate,tcdate,radate,securitytypecode,trademarketcode
603023,威帝股份,上交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001001001
600698,湖南天雁,上交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001001001
600392,盛和资源,上交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001001001
600663,陆家嘴,上交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001001001
000420,吉林化纤,深交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002001
000713,丰乐种业,深交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002001
002826,易明医药,深交所中小板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002003
002869,金溢科技,深交所中小板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002003
603758,秦安股份,上交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001001001
603787,新日股份,上交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001001001
300416,苏试试验,深交所创业板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002002
603929,亚翔集成,上交所主板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001001001
002767,先锋电子,深交所中小板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002003
002786,银宝山新,深交所中小板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002003
002469,三维工程,深交所中小板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002003
002533,金杯电工,深交所中小板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002003
002148,北纬科技,深交所中小板,2018-06-30T00:00:00,2018-07-27T00:00:00,-,-,-,2018-07-27T00:00:00,058001001,069001002003
600615,丰华股份,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
000848,承德露露,深交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001002001
600566,济川药业,上交所主板,2018-06-30T00:00:00,2018-07-28T00:00:00,-,-,-,2018-07-28T00:00:00,058001001,069001001001
