scode,sname,securitytype,trademarket,ldate,rdate,basiceps,yysr,ys,yshz,qntqys,jlr,lr,sjlhz,qntqjlr,parentbvps,roeweighted,publishname,securitytypecode,trademarketcode
601888,中国国旅,A股,上交所主板,2018-08-08T00:00:00,2018-06-30T00:00:00,0.9828,21084721588.61,67.77025246055568,38.26946852149143,12567616296.32,1918815134.61,47.57883646958636,-34.560352666556874,1300196681.66,7.66,12.94,旅游酒店,058001001,069001001001
002833,弘亚数控,A股,深交所中小板,2018-08-08T00:00:00,2018-06-30T00:00:00,1.21,608665200.0,50.38620804387113,35.633046664857645,404734721.3,163932000.0,33.53626862308677,32.140908080005275,122762154.2,7.99,16.08,专用设备,058001001,069001002003
601958,金钼股份,A股,上交所主板,2018-08-07T00:00:00,2018-06-30T00:00:00,0.046,4195091000.0,-19.70329289806698,11.359457165881363,5224486970.15,148517100.0,869.0952296048159,31.098872931989735,15325335.99,4.0,1.16,有色金属,058001001,069001001001
603180,金牌厨柜,A股,上交所主板,2018-08-07T00:00:00,2018-06-30T00:00:00,0.9149,642939900.0,15.11999904737335,45.438887393031905,558495400.73,61298100.0,32.53305061881757,129.80735103714224,46251180.15,12.95,6.71,木业家具,058001001,069001001001
300326,凯利泰,A股,深交所创业板,2018-08-07T00:00:00,2018-06-30T00:00:00,0.1548,456584632.45,24.639238754376066,-3.1520262579464378,366324952.73,110991615.68,16.808860819986172,27.09090517955403,95019859.71,3.0056,5.24,医疗行业,058001001,069001002002
603716,塞力斯,A股,上交所主板,2018-08-06T00:00:00,2018-06-30T00:00:00,0.27,574497300.0,59.46355304430138,20.917945026582267,360268719.11,48286700.0,30.05275431379757,58.95563864031072,37128548.53,7.71,5.06,医疗行业,058001001,069001001001
002543,万和电气,A股,深交所中小板,2018-08-04T00:00:00,2018-06-30T00:00:00,0.6284,3764420113.2,22.78621311943672,-26.560040395339986,3065832895.7,276504690.8,29.371802380414824,-10.932976316245195,213728715.0,7.4825,8.77,家电行业,058001001,069001002003
603801,志邦家居,A股,上交所主板,2018-08-04T00:00:00,2018-06-30T00:00:00,0.5929,1042162400.0,25.68677998121325,64.70994530877233,829174237.86,94868100.0,47.529026525029636,114.61154668274256,64304701.41,10.6139,5.53,木业家具,058001001,069001001001
002035,华帝股份,A股,深交所中小板,2018-08-03T00:00:00,2018-06-30T00:00:00,0.59,3174386099.45,17.239665445329948,22.85441114351138,2707604194.7,342666519.94,45.323372836538375,96.95871971207504,235795875.95,4.06,14.52,家电行业,058001001,069001002003
603360,百傲化学,A股,上交所主板,2018-08-03T00:00:00,2018-06-30T00:00:00,0.48,252056841.71,31.956396114231023,0.34393239185281627,191015251.35,63650311.04,16.560457321388157,33.03730903008034,54607121.92,5.63,8.85,化工行业,058001001,069001001001
