scode,hycode,companycode,sname,publishname,mkt,reporttimetypecode,combinetypecode,dataajusttype,noticedate,reportdate,sumasset,fixedasset,monetaryfund,monetaryfund_tb,accountrec,accountrec_tb,inventory,inventory_tb,sumliab,accountpay,accountpay_tb,advancereceive,advancereceive_tb,sumshequity,sumshequity_tb,tsatz,tdetz,ld,zcfzl,cashanddepositcbank,cashanddepositcbank_tb,loanadvances,loanadvances_tb,saleablefasset,saleablefasset_tb,borrowfromcbank,borrowfromcbank_tb,acceptdeposit,acceptdeposit_tb,sellbuybackfasset,sellbuybackfasset_tb,settlementprovision,settlementprovision_tb,borrowfund,borrowfund_tb,agenttradesecurity,agenttradesecurity_tb,premiumrec,premiumrec_tb,stborrow,stborrow_tb,premiumadvance,premiumadvance_tb,eutime
002161,016014,80097959,远望谷,电子信息,zxb,002,001,2,2018-09-29T00:00:00,2018-06-30T00:00:00,2449104429.28,258906248.5,199204323.7,0.0108711143604075,218473722.34,-0.121254223617781,280939383.46,-0.0439756029818976,912521753.03,102031999.23,0.439216763285276,17638538.12,-0.475178344232318,1536582676.25,-0.0425330205431158,0.154874,0.769048,0.0094303,0.3725940561,-,-,-,-,334627266.28,0.0946218037052737,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-28T19:51:09
002152,016014,80097526,广电运通,电子信息,zxb,002,001,2,2018-09-29T00:00:00,2018-06-30T00:00:00,12397087882.59,970475699.96,2622909325.76,-0.0996821420613003,1357342716.6,0.699462460761445,2130811702.87,-0.0580169685701354,3076213112.34,590718469.27,0.401026319191182,1537600267.27,0.00132797257034514,9320874770.25,0.0148339508634417,0.037476,0.112695,0.02802143,0.2481399778,-,-,-,-,1026812774.66,-0.0389765815802491,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-28T19:50:39
002316,016014,80077923,亚联发展,电子信息,zxb,002,001,2,2018-09-29T00:00:00,2018-06-30T00:00:00,2912114711.51,307102299.07,297049893.79,-0.536326841361679,606828854.7,0.226644829068787,120327363.03,0.527602855373739,2029628933.54,763172297.32,1.50938001885323,96495883.22,1.12822379878058,882485777.97,0.0888340588495862,0.642046,1.107654,0.00760065,0.6969605028,-,-,-,-,81020000.0,0.0,-,-,-,-,-,-,6509466.62,-,-,-,-,-,-,-,-,-,-,-,2018-09-28T21:00:10
002621,016043,80183536,三垒股份,机械行业,zxb,002,001,2,2018-09-28T00:00:00,2018-06-30T00:00:00,1285228806.51,54526650.05,57918537.18,-0.880849673609083,-,-,90921528.42,-0.139580938670855,129690715.03,-,-,52710953.28,0.180322220253186,1155538091.48,0.0143992136029037,-0.002901,-0.134426,0.06996386,0.1009086587,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-27T15:45:57
600746,016041,10000553,江苏索普,化工行业,shzb,002,001,2,2018-09-27T00:00:00,2018-06-30T00:00:00,599892944.76,133282989.3,26275002.5,-0.656540738682298,9696231.36,-0.266457032462468,25040435.63,-0.270374679059497,134778161.66,34262716.71,-0.360527130055203,7068275.07,-0.407392001583983,465114783.1,-0.0697624365848767,-0.181388,-0.421109,0.02820375,0.2246703563,-,-,-,-,4372907.88,-0.0113941876458303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-26T20:03:36
600122,016036,10000094,宏图高科,商业百货,shzb,002,001,2,2018-09-27T00:00:00,2018-06-30T00:00:00,19938593896.06,720846329.77,4962313279.01,-0.0949345210500204,1004041501.97,0.12569066662724,2698225324.27,-0.0112943338838007,11305218731.61,491036015.86,0.23296567901765,68897950.26,-0.538998790904255,8633375164.45,-0.00154115848160471,-0.003773,-0.005471,0.014238,0.5670018052,-,-,-,-,2503094920.2,-0.267843361647865,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-26T20:06:41
300025,016015,80134698,华星创业,通讯行业,cyb,002,001,2,2018-09-27T00:00:00,2018-06-30T00:00:00,2858457392.8,405873568.06,138494153.55,-0.399813157372219,1355028701.51,-0.0988661081924462,258774421.37,0.332326938706292,2105332856.27,690105681.79,0.168216039751555,111769003.79,0.444232442417956,753124536.53,-0.239524887846387,-0.059597,0.027356,0.01067586,0.7365276326,-,-,-,-,6000000.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-26T17:26:02
300694,016035,80650869,蠡湖股份,汽车行业,cyb,002,001,2,2018-09-26T00:00:00,2018-06-30T00:00:00,1467375652.53,517981710.79,121049818.06,-,-,-,262818615.56,-,805131629.67,-,-,4054.21,-,662244022.86,-,-,-,0.010659,0.5486881483,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-26T00:17:02
600172,016040,10000135,黄河旋风,材料行业,shzb,002,001,2,2018-09-26T00:00:00,2018-06-30T00:00:00,11582242351.33,4083397874.38,1290654573.79,0.901527972637743,1447204261.4,0.282793930510605,883868954.99,0.719567670323248,6680460516.63,430403760.34,0.191575966090751,117639868.1,0.0866439835515631,4901781834.7,0.0188317313385322,0.225419,0.439605,0.01015677,0.5767847291,-,-,-,-,2100001.0,19.999800002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-25T20:42:30
601231,016022,80193852,环旭电子,电子元件,shzb,002,001,2,2018-09-26T00:00:00,2018-06-30T00:00:00,16251215355.67,1404549364.4,4745211884.79,0.00655028248166591,4709855400.05,0.0910690765124903,3543609202.71,0.379465910488504,7628890242.22,5611279209.12,0.14424126235442,86206045.97,0.228682762662817,8622325113.45,0.0927857365084803,0.115562,0.142474,0.01856207,0.4694350592,-,-,-,-,45166533.79,0.931593952609103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2018-09-25T20:42:28
