scode,hycode,companycode,sname,publishname,reporttimetypecode,combinetypecode,dataajusttype,mkt,noticedate,reportdate,netoperatecashflow,netoperatecashflow_zb,salegoodsservicerec,salegoodsservicerec_zb,employeepay,employeepay_zb,netinvcashflow,netinvcashflow_zb,invincomerec,invincomerec_zb,buyfilassetpay,buyfilassetpay_zb,netfinacashflow,netfinacashflow_zb,nicashequi,nicashequi_tb,niclientdeposit,niclientdeposit_zb,niloanadvances,niloanadvances_zb,intandcommrec,intandcommrec_zb,agentuwsecurityrec,invpay,invpay_zb,cashequibeginning,cashequibeginning_zb,cashequiending,cashequiending_zb,premiumrec,premiumrec_zb,indemnitypay,indemnitypay_zb,eutime,nideposit,nideposit_zb
000528,016043,10000870,柳工,机械行业,002,001,2,szzb,2018-09-29T00:00:00,2018-06-30T00:00:00,-369804712.84,-0.99674630952387,9596399530.79,25.8654784131159,677484059.06,1.82604415839739,3594336.37,0.00968792821614199,27864885.07,0.0751051038412431,85920661.62,0.231584669984013,9496300.48,0.0255956782834865,-371011870.63,0.738699640901449,-,-,-,-,-,-,-,120340220.0,0.324356791591749,3856382104.83,10.3942283525366,3485370234.2,9.39422835253663,-,-,-,-,2018/9/28 20:56:09,-,-
002316,016014,80077923,亚联发展,电子信息,002,001,2,zxb,2018-09-29T00:00:00,2018-06-30T00:00:00,433930807.97,1.45353506800081,1432203829.6,4.79744340022194,103234310.45,0.345803265644903,-302615584.19,-1.01366935848935,48483499.42,0.162404847344324,881310.11,0.00295211846483417,-430397854.03,-1.44170075628313,-298534804.92,-4.1554351426069,-,-,-,-,-,-,-,491256673.5,1.64555912879788,517802114.22,1.73447821053481,219267309.3,0.734478210534809,-,-,-,-,2018/9/28 21:00:41,-,-
002152,016014,80097526,广电运通,电子信息,002,001,2,zxb,2018-09-29T00:00:00,2018-06-30T00:00:00,-449743486.07,-0.414515389461412,1879192945.84,1.73199706042383,1050341280.15,0.968068773187325,-126680051.73,-0.116757290780816,55855319.02,0.0514802104625994,69005014.49,0.0635998993694391,-506929772.39,-0.467222313474753,-1084986221.27,-2.71248494633163,-,-,-,-,-,-,-,4803862876.25,4.42757961536781,3701187691.11,3.41127621581929,2616201469.84,2.41127621581929,-,-,-,-,2018/9/28 19:50:39,-,-
002161,016014,80097959,远望谷,电子信息,002,001,2,zxb,2018-09-29T00:00:00,2018-06-30T00:00:00,-93753517.72,-0.717047082225583,194995171.63,1.49136504171449,94799972.81,0.725050595983921,-69517526.16,-0.531685002427754,-,-,28295473.07,0.216409868114291,35649194.34,0.272652711139144,-130749458.5,-307.616707390472,-,-,-,-,-,-,-,-,-,262199781.02,2.00536035887292,131450322.52,1.00536035887292,-,-,-,-,2018/9/28 19:50:39,-,-
002621,016043,80183536,三垒股份,机械行业,002,001,2,zxb,2018-09-28T00:00:00,2018-06-30T00:00:00,13920199.89,0.279708185099066,105515376.98,2.12019330385632,29844936.13,0.599694902751848,36705159.07,0.737542097697723,12039639.01,0.241920777240722,339879.94,0.00682944224366158,-1200000.0,-0.0241124283251136,49766866.44,1.29120815318283,-,-,-,-,-,-,-,45000000.0,0.904216062191759,662351670.74,13.3090893222812,712118537.18,14.3090893222812,-,-,-,-,2018/9/27 15:45:57,-,-
600122,016036,10000094,宏图高科,商业百货,002,001,2,shzb,2018-09-27T00:00:00,2018-06-30T00:00:00,-1775367049.06,-0.991534236298411,8994751499.8,5.02352686097801,194608781.62,0.10868809903998,289804681.48,0.161854566174989,17023812.89,0.0095077202890019,11837962.06,0.00661144672968129,-293001720.75,-0.163640097731786,-1790525212.41,-0.0591426847431621,-,-,-,-,-,-,-,330100000.0,0.184359314078406,5869652677.14,3.27817370928813,4079127464.73,2.27817370928813,-,-,-,-,2018/9/26 20:06:41,-,-
600746,016041,10000553,江苏索普,化工行业,002,001,2,shzb,2018-09-27T00:00:00,2018-06-30T00:00:00,27995771.77,0.141319191921595,221012117.12,1.11564182094628,32552365.83,0.164320314939892,-187576010.29,-0.946860490785446,2451506.85,0.0123749032489078,4997316.78,0.0252258367773451,-36770698.8,-0.185613937829596,-198103112.46,-9.13531151000646,-,-,-,-,-,-,-,295000000.0,1.48912349905439,223978114.96,1.1306138110537,25875002.5,0.130613811053698,-,-,-,-,2018/9/26 20:03:36,-,-
300025,016015,80134698,华星创业,通讯行业,002,001,2,cyb,2018-09-27T00:00:00,2018-06-30T00:00:00,2089535.53,0.0128994833524797,769528211.87,4.75058510169508,131748832.38,0.813334755783956,-8686744.18,-0.0536265166724205,-,-,21105107.69,0.130289713379244,-154914777.31,-0.956346787251541,-161985986.02,-2.96768938546538,-,-,-,-,-,-,-,13830000.0,0.0853777560627525,258556238.93,1.59616424409749,96570252.91,0.596164244097491,-,-,-,-,2018/9/26 17:26:02,-,-
300694,016035,80650869,蠡湖股份,汽车行业,002,001,2,cyb,2018-09-26T00:00:00,2018-06-30T00:00:00,53086885.85,3.37450039319971,532282281.07,33.8348490028061,115539616.04,7.34434641464515,-48735448.27,-3.09789859993981,-,-,48741828.37,3.09830415490152,11088066.96,0.704819763247513,15731776.46,-,-,-,-,-,-,-,-,-,-,35959797.73,2.28580655347044,51691574.19,3.28580655347044,-,-,-,-,2018/9/26 0:19:32,-,-
600172,016040,10000135,黄河旋风,材料行业,002,001,2,shzb,2018-09-26T00:00:00,2018-06-30T00:00:00,-58069515.37,-0.120559235498697,1620517721.86,3.3643879480431,181306476.99,0.376413857040193,-424274299.26,-0.880844016600082,1755304.12,0.00364422057643415,400301776.3,0.831074201532439,963493641.33,2.0003276429376,481667913.12,1.52304664024535,-,-,-,-,-,-,-,25709022.71,0.0533749955305721,730260067.67,1.51610694376494,1211927980.79,2.51610694376494,-,-,-,-,2018/9/25 20:42:30,-,-
