scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
601231,环旭电子,A股,上交所主板,2018-09-26T00:00:00,2018-06-30T00:00:00,0.18,-,12804853160,-0.674,5.6729,392133268.1,-29.4767,9.5404,4.51,3.96179843,0.022807,10.4687,电子元件,不分配不转增,-,58001001,69001001001,2018-07-28T00:00:00
300694,蠡湖股份,A股,深交所创业板,2018-09-26T00:00:00,2018-06-30T00:00:00,0.36,-,520044139.8,-,-,58803471.98,-,-,9.29,4.10091287,0.328738,28.3368,汽车行业,-,-,58001001,69001002002,2018-09-17T00:00:00
711,京蓝科技,A股,深交所主板,2018-09-25T00:00:00,2018-06-30T00:00:00,0.12,-,1124093700,135.3527,765.2568,108101630.6,7.4383,334.7304,2.52,4.96299662,-0.678413,31.3668,园林工程,不分配不转增,-,58001001,69001002001,2018-08-07T00:00:00
2939,长城证券,A股,深交所中小板,2018-09-25T00:00:00,2018-06-30T00:00:00,0.11,-,1375316131,-8.4867,-,312339325.9,-35.8822,-,2.17,5.18353231,-0.276411,-,券商信托,-,-,58001001,69001002003,2018-09-17T00:00:00
677,恒天海龙,A股,深交所主板,2018-09-22T00:00:00,2018-06-30T00:00:00,0.0024,-,334359593.6,23.2347,21.4646,2031320.15,-29.8983,619.9224,0.74,0.31771204,0.005702,11.7563,化纤行业,不分配不转增,-,58001001,69001002001,2018-08-25T00:00:00
603708,家家悦,A股,上交所主板,2018-09-22T00:00:00,2018-06-30T00:00:00,0.41,-,6226525441,11.8362,-9.0558,193691479,35.6295,-40.5561,7.71,5.31052251,0.514107,21.4746,商业百货,不分配不转增,-,58001001,69001001001,2018-08-15T00:00:00
603628,清源股份,A股,上交所主板,2018-09-22T00:00:00,2018-06-30T00:00:00,0.03,-,341137188.7,-7.6921,49.234,8641773.62,-64.1149,116.1119,0.92,3.39687949,-0.240234,28.3109,电子元件,不分配不转增,-,58001001,69001001001,2018-08-28T00:00:00
300366,创意信息,A股,深交所创业板,2018-09-22T00:00:00,2018-06-30T00:00:00,0.0796,-,497872188.9,-3.829,7.2611,41847899.28,-30.6112,-14.3179,1.41,5.70240337,-0.262342,28.8478,电子信息,不分配不转增,-,58001001,69001002002,2018-08-28T00:00:00
600545,卓郎智能,A股,上交所主板,2018-09-19T00:00:00,2018-06-30T00:00:00,0.1915,-,4627086000,13.9787,2.3853,363066000,30.3456,56.6781,15.22,1.34237182,-0.996833,26.8538,专用设备,不分配不转增,-,58001001,69001001001,2018-08-25T00:00:00
793,华闻传媒,A股,深交所主板,2018-09-15T00:00:00,2018-06-30T00:00:00,0.0409,-,1437139239,-2.466,-3.5775,81853261.61,-77.2314,186.7824,0.83,4.91013531,-0.179619,27.8748,文化传媒,不分配不转增,-,58001001,69001002001,2018-08-11T00:00:00
601113,华鼎股份,A股,上交所主板,2018-09-13T00:00:00,2018-06-30T00:00:00,0.13,-,2478360664,101.4482,140.5093,128933382.5,456.0133,260.8384,2.79,4.99737087,0.086851,22.5713,化纤行业,不分配不转增,-,58001001,69001001001,2018-08-28T00:00:00
600881,亚泰集团,A股,上交所主板,2018-09-13T00:00:00,2018-06-30T00:00:00,0.02,-,6422911985,24.652,29.6136,79536505.99,12.2546,258.9218,0.53,4.58713135,0.297856,29.3121,水泥建材,不分配不转增,-,58001001,69001001001,2018-08-18T00:00:00
957,中通客车,A股,深交所主板,2018-09-13T00:00:00,2018-06-30T00:00:00,0.05,-,2401345518,5.372,77.9827,30562017.46,-50.3602,2347.8375,1.09,4.55912218,-0.512912,14.5851,汽车行业,不分配不转增,-,58001001,69001002001,2018-08-31T00:00:00
600090,同济堂,A股,上交所主板,2018-09-12T00:00:00,2018-06-30T00:00:00,0.16,-,5173800332,12.4417,12.619,229065211.1,-6.6949,-27.5627,3.86,4.20372166,-0.389548,13.1686,医疗行业,10派2.00元(含税),0.026560425,58001001,69001001001,2018-08-28T00:00:00
300749,顶固集创,A股,深交所创业板,2018-09-12T00:00:00,2018-06-30T00:00:00,0.28,-,316838665.8,6.329,-,24272486.13,352.0443,-,6.72,4.36775725,-0.138473,38.0089,木业家具,-,-,58001001,69001002002,2018-07-24T00:00:00
600060,海信电器,A股,上交所主板,2018-09-11T00:00:00,2018-06-30T00:00:00,0.265,-,14012258299,3.2847,-20.6188,347161744.3,-12.3382,-77.4546,2.52,10.84865372,0.967516,14.9065,家电行业,不分配不转增,-,58001001,69001001001,2018-08-31T00:00:00
600029,南方航空,A股,上交所主板,2018-09-11T00:00:00,2018-06-30T00:00:00,0.21,-,67555000000,11.9795,-1.8973,2137000000,-22.7962,-115.9984,4.17,5.10586836,0.931106,11.0147,民航机场,不分配不转增,-,58001001,69001001001,2018-08-29T00:00:00
600220,江苏阳光,A股,上交所主板,2018-09-11T00:00:00,2018-06-30T00:00:00,0.0232,-,1056611721,6.4025,62.825,41391724.88,17.3028,532.2127,1.98,1.17779143,0.100335,21.027,纺织服装,不分配不转增,-,58001001,69001001001,2018-08-22T00:00:00
603585,苏利股份,A股,上交所主板,2018-09-11T00:00:00,2018-06-30T00:00:00,0.85,-,811617402.7,10.7128,13.3824,152613377.1,34.6387,56.6876,9.56,8.87283509,1.252918,41.7027,化工行业,不分配不转增,-,58001001,69001001001,2018-08-23T00:00:00
2937,兴瑞科技,A股,深交所中小板,2018-09-11T00:00:00,2018-06-30T00:00:00,0.35,-,477128418.1,-,-,48324054.78,-,-,12.9,2.72499226,0.261143,26.3037,电子元件,-,-,58001001,69001002003,2018-09-03T00:00:00
300525,博思软件,A股,深交所创业板,2018-09-10T00:00:00,2018-06-30T00:00:00,-0.1146,-,113512322.8,51.1084,84.6684,-14057412.88,-388.952,89.7009,-2.96,3.48681042,-0.735649,61.4797,软件服务,不分配不转增,-,58001001,69001002002,2018-09-10T00:00:00
2224,三力士,A股,深交所中小板,2018-09-07T00:00:00,2018-06-30T00:00:00,0.1,-,417078631.1,0.413,31.1127,66437898.97,-21.8559,148.8895,3.88,2.61674569,-0.022829,34.2407,塑胶制品,不分配不转增,-,58001001,69001002003,2018-08-20T00:00:00
600145,*ST新亿,A股,上交所风险警示板,2018-09-07T00:00:00,2018-06-30T00:00:00,0.034,-,15759190.45,-36.953,-,46691230.93,1046.6665,4297.1522,0.02,0.45096293,-0.000531,9.6479,玻璃陶瓷,不分配不转增,-,58001001,69001001003,2018-08-31T00:00:00
987,越秀金控,A股,深交所主板,2018-09-07T00:00:00,2018-06-30T00:00:00,0.084,-,2585757712,10.7248,1.9216,187754969.8,-27.1251,-30.9551,1.45,5.78813221,0.745035,-,多元金融,不分配不转增,-,58001001,69001002001,2018-08-30T00:00:00
300740,御家汇,A股,深交所创业板,2018-09-06T00:00:00,2018-06-30T00:00:00,0.35,-,980749137,57.7843,56.8741,65033780.96,19.0465,21.6726,5.97,4.87964683,0.437579,53.7726,化工行业,不分配不转增,-,58001001,69001002002,2018-08-30T00:00:00
2366,台海核电,A股,深交所中小板,2018-09-05T00:00:00,2018-06-30T00:00:00,0.5,-,972395341.4,-7.5697,9.283,436871850.7,2.5956,37.7038,14.68,3.56795577,-0.064008,69.9521,机械行业,不分配不转增,-,58001001,69001002003,2018-08-30T00:00:00
600179,安通控股,A股,上交所主板,2018-09-05T00:00:00,2018-06-30T00:00:00,0.23,-,4614980202,79.8009,40.3062,338108903.5,48.0103,-1.2561,10.67,2.17270785,0.294747,14.1084,交运物流,不分配不转增,-,58001001,69001001001,2018-08-28T00:00:00
300748,金力永磁,A股,深交所创业板,2018-09-05T00:00:00,2018-06-30T00:00:00,0.14,-,615906838.5,62.9391,-,52182405.44,-22.1944,-,6.38,2.23280516,0.109275,20.9388,材料行业,-,-,58001001,69001002002,2018-08-29T00:00:00
603963,大理药业,A股,上交所主板,2018-09-05T00:00:00,2018-06-30T00:00:00,0.01,-,202985565.1,56.0353,-15.6099,885827.76,-97.1581,-189.7807,0.19,4.54312869,0.357891,81.0089,医药制造,不分配不转增,-,58001001,69001001001,2018-08-15T00:00:00
603810,丰山集团,A股,上交所主板,2018-09-04T00:00:00,2018-06-30T00:00:00,1.43,-,801948626.9,-,-,85576688.03,-,-,14.87,10.07982392,0.867336,25.9335,农药兽药,-,-,58001001,69001001001,2018-09-04T00:00:00
300356,光一科技,A股,深交所创业板,2018-09-03T00:00:00,2018-06-30T00:00:00,0.0437,-,155525245.5,-24.3617,152.1881,18145917.65,835.2383,293.7812,1.74,2.53706508,-0.193821,36.1204,输配电气,不分配不转增,-,58001001,69001002002,2018-08-28T00:00:00
600692,亚通股份,A股,上交所主板,2018-09-01T00:00:00,2018-06-30T00:00:00,0.0667,-,370337324.9,-45.4641,9.8203,23458576.98,7.1985,92.2263,3.31,2.05074798,-0.603192,22.6517,房地产,不分配不转增,-,58001001,69001001001,2018-08-29T00:00:00
